사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2024-05,2호선,0214,강변(동서울터미널),41,1,"9,923","2,320","29,604","23,765","80,049","26,112","114,345","44,252","86,916","36,126","67,149","37,225","58,910","35,651","53,980","40,532","52,083","46,735","46,797","50,558","49,122","61,162","52,897","66,730","59,215","84,196","62,715","111,465","45,673","77,978","36,709","56,501","30,835","47,625","19,846","44,741","8,165","22,397","1,166","6,750",1,36,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0215,잠실나루,11,1,"3,565","3,284","14,190","18,148","40,947","24,116","50,788","39,566","34,204","24,587","27,451","19,631","26,001","17,304","24,296","20,753","22,743","23,026","23,770","21,502","26,839","22,546","34,512","23,783","38,692","31,600","31,474","42,614","15,899","31,293","13,277","20,413","9,332","19,485","6,626","18,494","3,085","10,389",523,"3,414",0,28,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0216,잠실(송파구청),208,7,"14,436","5,091","55,380","39,065","129,737","88,579","178,046","193,102","131,475","176,204","92,444","129,763","91,575","128,305","103,758","124,985","114,908","133,423","125,195","132,591","156,479","148,105","178,461","161,513","210,681","201,552","245,476","251,235","171,964","161,935","178,547","109,153","164,796","101,249","107,362","95,219","35,709","50,880","5,475","11,459",4,159,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0217,잠실새내,44,0,"6,488","1,160","20,379","9,092","65,041","18,052","88,636","29,323","59,307","32,318","40,209","26,310","36,479","29,572","37,441","34,236","37,197","37,815","34,398","41,693","36,946","49,445","39,468","58,639","44,133","74,577","45,133","94,509","35,005","68,086","37,580","40,705","35,451","35,857","33,161","34,311","18,620","18,914","3,313","6,585",4,75,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0218,종합운동장,6,2,"1,656",944,"6,641","11,691","17,864","23,077","24,999","34,019","18,205","17,780","13,916","15,102","12,872","15,187","15,249","32,716","16,472","49,050","22,446","23,518","19,801","27,004","27,697","41,913","49,784","93,419","35,317","89,225","15,832","26,704","33,618","13,310","112,917","13,454","47,395","11,618","4,687","6,226",478,"1,849",6,125,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0219,삼성(무역센터),212,3,"4,820","5,864","7,722","46,716","15,772","144,170","20,420","331,297","22,803","255,079","26,981","127,705","41,046","92,172","53,578","82,551","69,569","89,663","87,587","76,172","110,873","65,525","139,886","63,661","231,287","63,297","296,361","59,432","152,021","34,386","122,274","20,108","101,933","16,447","64,551","12,847","18,176","7,395","2,637","4,154",1,"1,387",0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0220,선릉,166,9,"5,204","6,351","12,428","45,731","23,532","124,600","37,755","276,913","37,181","212,824","41,407","104,888","51,183","68,699","61,376","64,231","71,868","72,837","79,239","60,462","102,514","53,471","129,842","52,354","201,219","59,811","284,896","62,300","145,193","39,206","95,270","25,733","90,031","22,687","75,133","20,467","26,805","12,804","4,524","5,562",0,80,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0221,역삼,55,1,"3,902","7,881","9,260","41,795","16,692","157,268","26,689","365,765","25,499","293,287","26,614","117,344","35,262","66,870","43,468","58,984","51,557","65,196","60,015","51,121","79,512","46,203","100,692","44,417","218,783","52,665","268,051","57,602","143,880","37,145","85,438","24,295","77,816","20,958","53,189","17,724","21,018","11,143","3,622","3,564",0,1,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0222,강남,202,7,"8,610","12,221","18,832","57,752","41,262","161,939","64,959","310,888","55,240","318,183","57,173","154,527","75,338","107,468","91,255","102,575","107,493","120,191","118,453","107,403","142,482","102,934","168,883","109,900","250,437","137,306","320,114","179,423","212,568","105,017","165,847","61,527","188,088","52,670","163,006","44,364","75,548","26,529","13,011","7,303",3,3,0,0,0,0,2024-06-03 09:43:48
2024-05,2호선,0223,교대(법원.검찰청),42,0,"2,662","6,982","12,129","27,780","27,244","61,398","38,237","159,409","30,775","134,598","29,937","69,970","34,443","60,938","37,746","54,717","44,706","61,367","51,989","53,086","55,664","49,871","61,694","51,272","97,337","65,200","133,582","73,850","62,268","42,563","54,042","27,722","52,758","26,311","42,656","24,974","16,846","14,065","3,301","4,221",0,3,0,0,0,0,2024-06-03 09:43:48
